phi,coronal,sagittal
0.162143,0.305522,0.608633
0.162857,0.319867,0.437841
0.163571,0.65709,0.61246
0.164286,0.316517,0.568818
0.165,0.671944,0.417319
0.165714,0.295506,0.593213
0.166429,0.318138,0.429439
0.167143,0.654295,0.606655
0.167857,0.315106,0.427587
0.168571,0.65178,0.606411
0.169286,0.306983,0.43235
0.17,0.352939,0.608101
0.170714,0.697343,0.427262
0.171429,0.611261,0.608266
0.172143,0.273005,0.435219
0.172857,0.322225,0.595808
0.173571,0.360293,0.414714
0.174286,0.686175,0.601023
0.175,0.631905,0.408345
0.175714,0.303174,0.600484
0.176429,0.32778,0.424184
0.177143,0.670841,0.598816
0.177857,0.295899,0.429608
0.178571,0.343333,0.599239
0.179286,0.695689,0.420679
0.18,0.621465,0.599342
0.180714,0.279521,0.426676
0.181429,0.330256,0.590633
0.182143,0.688456,0.41709
0.182857,0.315392,0.589249
0.183571,0.669373,0.410156
0.184286,0.297993,0.570005
0.185,0.349673,0.411472
0.185714,0.693603,0.58727
0.186429,0.627111,0.397632
0.187143,0.295627,0.58801
0.187857,0.349857,0.408152
0.188571,0.688458,0.590185
0.189286,0.631503,0.398669
0.19,0.294212,0.585083
0.190714,0.35019,0.409285
0.191429,0.696021,0.586643
0.192143,0.639081,0.398421
0.192857,0.309343,0.589994
0.193571,0.361197,0.400596
0.194286,0.699494,0.58494
0.195,0.642281,0.39595
0.195714,0.311384,0.587598
0.196429,0.366167,0.399405
0.197143,0.713981,0.577111
0.197857,0.652523,0.400598
0.198571,0.310655,0.584793
0.199286,0.673503,0.405088
0.2,0.314648,0.582323
0.200714,0.711895,0.480193
0.201429,0.346995,0.660038
0.202143,0.659411,0.623063
0.202857,0.286916,0.488396
0.203571,0.654908,0.657544
0.204286,0.343693,0.624564
0.205,0.723108,0.483183
0.205714,0.614467,0.660424
0.206429,0.310155,0.610232
0.207143,0.346487,0.469041
0.207857,0.689905,0.649102
0.208571,0.661774,0.62004
0.209286,0.631296,0.603297
0.21,0.279661,0.465942
0.210714,0.380291,0.654379
0.211429,0.745208,0.483106
0.212143,0.637576,0.65076
0.212857,0.3314,0.609343
0.213571,0.717236,0.468164
0.214286,0.356697,0.64547
0.215,0.694882,0.597756
0.215714,0.677594,0.458956
0.216429,0.337976,0.645178
0.217143,0.376762,0.615252
0.217857,0.761848,0.472795
0.218571,0.665436,0.631798
0.219286,0.664124,0.463282
0.22,0.328651,0.647221
