phi,coronal,sagittal
0,0.112359,1
0.000714286,0,1
0.00142857,1,1
0.00214286,0,1
0.00285714,-1,1
0.00357143,0.764581,1
0.00428571,0,1
0.005,1,1
0.00571429,0,1
0.00642857,1,1
0.00714286,0,1
0.00785714,0.970625,1
0.00857143,0.142033,1
0.00928571,0.284984,1
0.01,0.366202,1
0.0107143,0.381932,1
0.0114286,0.404738,1
0.0121429,0.428418,1
0.0128571,0.449476,1
0.0135714,0.46827,1
0.0142857,0.4843,1
0.015,0.499225,1
0.0157143,0.5098,1
0.0164286,0.521295,1
0.0171429,0.530915,1
0.0178571,0.539775,1
0.0185714,0.546155,1
0.0192857,0.552256,1
0.02,0.556081,1
0.0207143,0.559985,1
0.0214286,0.561796,1
0.0221429,0.564015,1
0.0228571,0.564443,1
0.0235714,0.565463,1
0.0242857,0.564866,1
0.025,0.565004,1
0.0257143,0.563702,1
0.0264286,0.562617,1
0.0271429,0.562252,1
0.0278571,0.560098,1
0.0285714,0.558221,1
0.0292857,0.556662,1
0.03,0.554922,1
0.0307143,0.552941,1
0.0314286,0.550813,1
0.0321429,0.548643,1
0.0328571,0.546486,1
0.0335714,0.544574,1
0.0342857,0.542871,1
0.035,0.541279,1
0.0357143,0.539775,1
0.0364286,0.538396,1
0.0371429,0.536043,1
0.0378571,0.533266,1
0.0385714,0.530807,1
0.0392857,0.528781,1
0.04,0.527097,1
0.0407143,0.525646,1
0.0414286,0.524351,1
0.0421429,0.523195,1
0.0428571,0.520514,1
0.0435714,0.51923,1
0.0442857,0.518497,1
0.045,0.517739,1
0.0457143,0.516932,1
0.0464286,0.515478,1
0.0471429,0.51357,1
0.0478571,0.511216,1
0.0485714,0.50718,1
0.0492857,0.504068,1
0.05,0.501219,1
0.0507143,0.499756,1
0.0514286,0.511276,1
0.0521429,0.528026,1
0.0528571,0.539415,1
0.0535714,0.534466,1
0.0542857,0.520841,1
0.055,0.510451,1
0.0557143,0.503416,1
0.0564286,0.498469,1
0.0571429,0.49395,1
0.0578571,0.490897,1
0.0585714,0.488758,1
0.0592857,0.487589,1
0.06,0.487085,1
0.0607143,0.486957,1
0.0614286,0.487258,1
0.0621429,0.487806,1
0.0628571,0.488526,1
0.0635714,0.489352,1
0.0642857,0.490233,1
